source;target;next_n;prev_n;next_e;distance
0;24;1;25;0;0.0095214
0;16;1;18;0;0.00968296
0;9;1;21;0;0.00990035
0;18;1;21;0;0.0089014
0;22;1;20;0;0.0099509
0;21;1;20;0;0.00849135
0;13;2;3;1;0.00170633
0;1;1;0;0;0.00250705
0;2;2;0;1;0.000472565
0;3;2;2;1;0.00151557
0;12;2;13;1;0.00236243
0;25;1;7;0;0.0093466
0;5;1;1;0;0.00275075
0;6;1;1;0;0.00280531
0;23;1;1;0;0.00375432
0;7;1;5;0;0.00352247
0;20;1;23;0;0.00829693
0;8;1;7;0;0.00816251
15;24;14;25;43;0.0157557
15;0;14;12;43;0.0135229
15;12;14;13;43;0.0134336
15;13;14;3;43;0.0127775
15;3;14;2;43;0.0125867
15;8;14;7;43;0.0143968
15;25;14;7;43;0.0155809
15;2;14;6;43;0.0115437
15;7;14;5;43;0.00975675
15;6;14;5;43;0.00946124
15;1;14;5;43;0.00922872
15;5;14;11;43;0.00898503
15;14;14;15;43;0.000774217
15;16;14;14;43;0.00199406
15;17;14;14;43;0.00120739
15;18;14;16;43;0.00298993
15;19;14;16;43;0.00234645
15;21;14;18;43;0.00339999
15;20;14;21;43;0.0035944
15;9;14;21;43;0.004809
15;22;14;20;43;0.00524837
15;10;14;9;43;0.00517707
15;23;14;11;43;0.00831146
15;11;14;9;43;0.00795423
17;24;14;25;46;0.0154146
17;0;14;12;46;0.0131819
17;12;14;13;46;0.0130925
17;13;14;3;46;0.0124364
17;3;14;2;46;0.0122457
17;8;14;7;46;0.0140557
17;25;14;7;46;0.0152398
17;2;14;6;46;0.0112027
17;7;14;5;46;0.00941571
17;6;14;5;46;0.00912019
17;1;14;5;46;0.00888768
17;5;14;11;46;0.00864399
17;14;14;17;46;0.000433175
17;15;14;14;46;0.00120739
17;16;14;14;46;0.00165302
17;18;14;16;46;0.00264889
17;19;14;16;46;0.00200541
17;21;14;18;46;0.00305895
17;20;14;21;46;0.00325336
17;9;14;21;46;0.00446795
17;22;14;20;46;0.00490733
17;10;14;9;46;0.00483603
17;23;14;11;46;0.00797042
17;11;14;9;46;0.00761319
19;24;16;25;25;0.014114
19;0;16;12;25;0.0118813
19;12;16;13;25;0.0117919
19;13;16;3;25;0.0111358
19;3;16;2;25;0.010945
19;8;16;7;25;0.0127551
19;25;16;7;25;0.0139392
19;2;16;6;25;0.00990204
19;7;16;5;25;0.00811507
19;6;16;5;25;0.00781956
19;1;16;5;25;0.00758704
19;5;16;11;25;0.00734335
19;16;16;19;25;0.000352385
19;14;16;16;25;0.00157223
19;18;16;16;25;0.00134825
19;21;16;18;25;0.00175831
19;15;16;14;25;0.00234645
19;17;16;14;25;0.00200541
19;20;16;21;25;0.00195272
19;9;16;21;25;0.00316732
19;22;16;20;25;0.00360669
19;10;16;9;25;0.00353539
19;23;16;11;25;0.00666979
19;11;16;9;25;0.00631255
7;17;5;14;37;0.00984435
7;15;5;14;37;0.0101854
7;11;5;9;37;0.011554
7;10;5;9;37;0.00877679
7;19;5;16;37;0.00854371
7;14;5;16;37;0.00941117
7;16;5;18;37;0.00819132
7;9;5;21;37;0.00840872
7;18;5;21;37;0.00740977
7;22;5;20;37;0.00845927
7;21;5;20;37;0.00699971
7;24;25;25;36;0.00599893
7;20;5;23;37;0.0068053
7;25;25;7;36;0.00582413
7;12;5;13;37;0.00522028
7;5;5;7;37;0.000771721
7;8;8;7;38;0.00464004
7;1;5;5;37;0.00101542
7;6;5;5;37;0.00124793
7;23;5;1;37;0.00226269
7;2;5;6;37;0.00333041
7;3;5;2;37;0.00437342
7;13;5;3;37;0.00456418
7;0;5;12;37;0.00530964
21;24;9;25;22;0.0123557
21;0;9;12;22;0.010123
21;12;9;13;22;0.0100336
21;13;9;3;22;0.0093775
21;3;9;2;22;0.00918674
21;8;9;7;22;0.0109968
21;25;9;7;22;0.0121809
21;2;9;6;22;0.00814373
21;7;9;5;22;0.00635676
21;6;9;5;22;0.00606125
21;1;9;5;22;0.00582873
21;5;9;11;22;0.00558504
21;20;20;21;20;0.000194412
21;18;18;21;21;0.000410058
21;9;9;21;22;0.00140901
21;22;20;20;20;0.00184838
21;16;18;18;21;0.00119161
21;14;18;16;21;0.00241146
21;19;18;16;21;0.001544
